Kabupaten/Regency,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des,Rata-rata/Average,Tahun
1 Kab. Bogor,9657,9700,9729,9614,9300,9371,9457,9714,9986,10071,10200,10443,9770,2022
2 Kab. Sukabumi,10073,10192,10013,9700,9636,9200,9464,9521,10171,10169,10100,10631,9903,2022
3 Kab. Cianjur,11280,11247,11313,11412,11000,11160,11227,11253,11267,10833,11107,11236,11206,2022
4 Kab. Bandung,10729,10607,10607,10800,10786,10657,10843,10786,10840,10914,10971,11100,10786,2022
5 Kab. Garut,10686,10760,10760,10820,10710,10710,10710,10710,10710,10710,10710,10710,10726,2022
6 Kab. Tasikmalaya,9944,9922,9956,9856,9780,9678,9700,9722,9922,9922,10489,10711,9974,2022
7 Kab. Ciamis,9250,9283,9329,8429,8843,8700,8779,9029,9836,9933,9833,10250,9283,2022
8 Kab. Kuningan,9383,9325,9650,9411,9513,9350,9620,9533,9843,9929,9929,10000,9616,2022
9 Kab. Cirebon,8744,9256,8938,8783,8558,8192,8400,8705,9010,9114,9263,10108,8912,2022
10 Kab. Majalengka,9200,9163,8650,8338,7788,7988,8088,8763,9300,9375,9363,10150,8847,2022
11 Kab. Sumedang,12043,12056,12000,11857,12020,12050,12000,12000,11818,12018,12020,12080,11997,2022
12 Kab. Indramayu,9591,9390,9510,8780,9070,8820,8860,9370,9770,9810,10480,10840,9525,2022
13 Kab. Subang,9600,9250,9289,9378,9472,9350,9578,9911,10656,9600,9689,9989,9647,2022
14 Kab. Purwakarta,9475,9675,9400,8800,8575,8325,8675,8625,9050,9300,9575,10400,9156,2022
15 Kab. Karawang,9717,9438,9138,9136,9532,9586,9682,9943,9962,9696,10127,10189,9683,2022
16 Kab. Bekasi,9757,9550,9483,9300,8900,8600,9000,9300,9567,9583,9833,10100,9419,2022
17 Kab. Bandung Barat,9250,9300,9400,9500,9600,9600,9600,9600,9550,9550,9575,9725,9521,2022
18 Kab. Pangandaran,9900,9875,9875,8250,8400,8400,8150,8450,8900,9450,9750,9750,9138,2022
Jawa Barat,9924,10018,9956,9705,9667,9599,9699,9900,10178,10101,10290,10570,9966,2022
1 Kab. Bogor,10729,10943,11186,10714,10714,10714,11000,11000,12214,12214,12000,12786,11351,2023
2 Kab. Sukabumi,10875,11369,11169,11269,11131,11015,10638,11177,13731,13983,13985,13862,12012,2023
3 Kab. Cianjur,11000,12121,12086,12121,12169,12169,12000,12143,14336,14329,14043,14021,12739,2023
4 Kab. Bandung,11757,11943,11771,12043,11114,11986,12129,12143,12943,13143,13143,13057,12348,2023
5 Kab. Garut,10760,11060,11360,11360,11360,11360,11360,11470,12850,13543,13461,13463,11951,2023
6 Kab. Tasikmalaya,10669,12281,11063,11625,11688,11325,11425,12163,13250,13425,13438,13275,12135,2023
7 Kab. Ciamis,10258,11329,11070,10911,10867,10733,10863,11100,12336,12393,12529,12707,11379,2023
8 Kab. Kuningan,11129,12300,10857,10714,11000,10500,10929,11457,12900,12786,12371,12229,11595,2023
9 Kab. Cirebon,10590,11120,10838,10825,10480,10773,10800,11180,12763,12700,12975,12736,11439,2023
10 Kab. Majalengka,10394,11319,10225,10813,10250,10533,10525,10706,12767,12567,12633,12644,11319,2023
11 Kab. Sumedang,12067,12033,12067,12000,12000,12133,12033,12238,12100,13688,12400,12225,12268,2023
12 Kab. Indramayu,11280,11090,11100,11460,11330,11380,10930,11250,12300,14000,13850,13980,11996,2023
13 Kab. Subang,10796,10889,10900,9839,9939,10944,11156,11322,11856,12222,12344,12544,11299,2023
14 Kab. Purwakarta,10825,11175,10125,10300,10550,10475,10400,11133,13000,12600,12000,12600,11248,2023
15 Kab. Karawang,10817,11308,10600,9918,9833,11238,11479,11308,13758,12545,12641,12496,11567,2023
16 Kab. Bekasi,10767,11850,10550,10467,10233,10367,10950,11333,13400,13117,12717,12750,11542,2023
17 Kab. Bandung Barat,9850,10300,10400,10425,10400,10400,10388,10388,12125,12275,12513,12450,10993,2023
18 Kab. Pangandaran,10200,11650,9775,9650,10600,10400,10750,11200,13750,14250,12750,12750,11477,2023
Jawa Barat,10866,11452,11080,11040,11072,11110,11164,11432,12984,13171,13024,13025,11788,2023
Kabupaten Bogor,13000,12714,14086,12000,11143,11643,11929,12000,12071,12429,12571,12714,12358,2024
Kabupaten Sukabumi,14350,15550,15556,14167,13111,12722,14400,13556,13500,13520,13400,13722,13974,2024
Kabupaten Cianjur,14238,16556,15608,13100,12700,13418,13736,13783,13783,13817,13683,13708,13986,2024
Kabupaten Bandung,13800,15000,15000,13486,13643,13933,13967,14129,14029,14443,14171,14529,14167,2024
Kabupaten Garut,14409,15813,15714,14714,12643,14229,12643,13857,14000,14071,13167,13250,13954,2024
Kabupaten Tasikmalaya,13550,15125,14750,13250,12625,13063,13863,14175,13238,13275,13100,12975,13582,2024
Kabupaten Ciamis,13371,15000,14592,12992,11675,12025,12225,12883,12675,12942,12425,12550,12952,2024
Kabupaten Kuningan,14071,15257,15186,14057,11143,12014,12386,12500,12829,12843,12771,12857,13160,2024
Kabupaten Cirebon,13175,14813,13657,11713,11463,11791,12370,12250,12300,12367,11875,11956,12432,2024
Kabupaten Majalengka,12878,13350,13000,11167,12144,11756,11567,12400,12611,12611,12611,12167,12340,2024
Kabupaten Sumedang,13167,14417,13500,14167,13333,13117,13133,13167,13067,13033,13000,13000,13342,2024
Kabupaten Indramayu,13325,12188,13871,12900,11630,12090,11917,12675,12435,12885,12695,13015,12602,2024
Kabupaten Subang,12878,13689,13289,12456,11544,12022,12478,12300,12111,11963,11888,12180,12409,2024
Kabupaten Purwakarta,13067,15917,13417,12600,10000,12167,11367,12000,12000,12000,12000,12333,12406,2024
Kabupaten Karawang,13063,14667,14125,13389,12850,12778,12400,13067,13000,12409,11788,12722,13031,2024
Kabupaten Bekasi,12983,13800,14210,12600,11880,12250,12258,13150,13167,12100,11867,12183,12696,2024
Kabupaten Bandung Barat,12600,13425,14250,14200,12988,12350,12650,12675,12425,13150,12700,12950,13030,2024
Kabupaten Pangandaran,13400,16150,14650,13800,11500,12250,13000,12500,13000,13000,13000,13000,13271,2024
Jawa Barat,13508,14587,14427,13083,12199,12440,12743,13010,12952,12988,12756,12898,13123,2024
