Kabupaten,Tahun,Luas_Lahan_Padi_(Ha),Produktivitas_Tanaman_Padi_(Ku/ha),Produksi_Padi_(Ton),Konsumsi_Beras,Rata_Rata_Harga_Beras
Bogor,2022,56002.23,53.55,299893.8,1.613,9770
Sukabumi,2022,95012.99,53.49,508220.48,1.938,9903
Cianjur,2022,115877.18,53.33,617941.03,1.959,11206
Bandung,2022,47537.79,60.84,289205.7,1.465,10786
Garut,2022,75951.04,58.11,441316.2,1.592,10726
Tasikmalaya,2022,81310.17,53.0,430961.73,1.75,9974
Ciamis,2022,55844.25,54.74,305676.17,1.883,9283
Kuningan,2022,48250.13,57.53,277583.76,1.411,9616
Cirebon,2022,84892.18,58.27,494699.98,1.418,8912
Majalengka,2022,100950.53,56.08,566087.34,1.523,8847
Sumedang,2022,56662.01,52.62,298163.0,1.679,11997
Indramayu,2022,245329.29,60.42,1482255.86,1.572,9525
Subang,2022,177986.35,58.36,1038780.58,1.775,9647
Purwakarta,2022,34396.95,54.87,188731.69,1.742,9156
Karawang,2022,204326.26,60.05,1226880.08,1.82,9683
Bekasi,2022,103088.97,53.91,555747.09,1.557,9419
Bandung Barat,2022,29201.93,52.62,153648.29,1.632,9521
Pangandaran,2022,30115.9,49.37,148670.61,1.874,9138
Bogor,2023,50999.48,55.54,283266.58,1.55,11351
Sukabumi,2023,93866.34,54.59,512391.58,1.886,12012
Cianjur,2023,115749.72,56.17,650123.11,1.929,12739
Bandung,2023,49366.27,60.8,300142.89,1.44,12348
Garut,2023,74538.34,60.88,453787.94,1.608,11951
Tasikmalaya,2023,69685.72,56.16,391379.69,1.683,12135
Ciamis,2023,53976.46,55.42,299124.49,1.786,11379
Kuningan,2023,44815.65,58.24,261023.34,1.446,11595
Cirebon,2023,82797.11,59.89,495878.2,1.481,11439
Majalengka,2023,100124.09,55.77,558430.27,1.545,11319
Sumedang,2023,53525.51,53.64,287112.51,1.647,12268
Indramayu,2023,230456.96,61.8,1424303.1,1.573,11996
Subang,2023,174864.99,58.77,1027659.54,1.808,11299
Purwakarta,2023,31884.84,58.5,186533.23,1.781,11248
Karawang,2023,189064.62,59.87,1131976.57,1.807,11567
Bekasi,2023,93338.02,53.28,497339.49,1.486,11542
Bandung Barat,2023,26709.13,53.62,143212.52,1.572,10993
Pangandaran,2023,30250.9,46.05,139300.3,1.921,11477
Bogor,2024,50168.52,59.73,299675.82,1.494,12358
Sukabumi,2024,81612.3,57.2,466835.93,1.851,13974
Cianjur,2024,105305.7,59.91,630847.78,1.815,13986
Bandung,2024,51947.62,64.33,334188.58,1.399,14167
Garut,2024,71635.66,63.51,454937.51,1.565,13954
Tasikmalaya,2024,66324.47,53.29,353415.07,1.678,13582
Ciamis,2024,44307.13,53.32,236248.23,1.704,12952
Kuningan,2024,41522.97,53.81,223427.76,1.435,13160
Cirebon,2024,84465.74,60.45,510632.02,1.382,12432
Majalengka,2024,87220.48,55.5,484085.66,1.566,12340
Sumedang,2024,49430.79,55.0,271869.0,1.646,13342
Indramayu,2024,212866.19,65.74,1399352.12,1.657,12602
Subang,2024,163881.64,59.12,968941.45,1.769,12409
Purwakarta,2024,30629.17,58.9,180397.1,1.686,12406
Karawang,2024,183065.46,56.89,1041530.95,1.633,13031
Bekasi,2024,84199.55,49.46,416476.98,1.451,12696
Bandung Barat,2024,27566.67,53.98,148802.98,1.503,13030
Pangandaran,2024,24131.55,48.98,118188.45,1.85,13271
